  workflow,    t_alloc,      #team, #ftrs_spec,     fuzzed,         co,   #exec_wf,  #exec_tdd,   #exec_co,  #exec_spc,  #exec_imp,  #exec_tng,  #exec_dbg,  #exec_rfg,   #fuzz_wf,  #fuzz_tdd,   #fuzz_co,  #fuzz_spc,  #fuzz_imp,  #fuzz_tng,  #fuzz_dbg,  #fuzz_rfg,  #fuzz_tot,  #lines_wf, #lines_tdd,  #lines_co, #lines_spc, #lines_imp, #lines_tng, #lines_dbg, #lines_rfg,    mtf_avg,        mtf,     t_used, #ftrs_impld,     #t_run
WaterfallD,        500,          3,        0 1, CTIDR     ,      0.005,         25,          0,        120,         50,         27,         14,         10,         10,          0,          0,         98,          0,          6,         13,          0,          4,        121,         16,          6,          8,          3,          5,          7,          4,          5,      50.00, [0, 0, 111, 86, 1, 16, 0, 750, 0, 93, 0, 0, 0, 0, 20, 0, 123, 0, 34, 0, 0, 0, 29, 0, 0],        402,       1.76,         28
WaterfallD,        500,          3,        0 1, CTIDR     ,      0.010,         25,          0,        163,         50,         39,         28,         12,         10,          0,          0,         73,          0,         16,         19,          1,          3,        112,         16,          6,          8,          3,          5,          7,          4,          5,      81.00, [24, 1, 0, 0, 0, 1, 0, 0, 0, 132, 1, 41, 0, 0, 71, 42, 52, 71, 750, 0, 0, 750, 0, 51, 56],        402,       1.96,         68
WaterfallD,        500,          3,        0 1, CTIDR     ,      0.020,         25,          0,        220,         50,         44,         38,         34,         32,          0,          0,         44,          0,         13,          1,          9,          7,         74,         16,          6,          8,          3,          5,          7,          4,          5,     136.00, [15, 750, 1, 0, 44, 18, 323, 40, 61, 320, 69, 0, 750, 1, 750, 0, 0, 1, 0, 92, 0, 23, 0, 36, 121],        188,       1.96,         30
WaterfallD,        500,          3,        0 1, CTIDR     ,      0.050,         25,          0,        254,         50,         45,         41,         34,         30,          0,          0,         40,          0,          0,          7,          0,          1,         48,         16,          6,          8,          3,          5,          7,          4,          5,      85.00, [24, 27, 33, 64, 24, 48, 37, 226, 38, 69, 0, 0, 17, 15, 108, 90, 53, 750, 67, 127, 14, 98, 75, 0, 124],        226,       1.96,         46
WaterfallD,        500,          3,        0 1, CTIDR     ,      0.100,         25,          0,        300,         50,         46,         46,         38,         38,          0,          0,         14,          0,          5,          3,          1,          0,         23,         16,          6,          8,          3,          5,          7,          4,          5,     210.00, [24, 47, 750, 0, 32, 750, 167, 228, 143, 0, 61, 182, 89, 750, 65, 68, 69, 28, 179, 39, 150, 416, 265, 750, 0],        129,       1.96,         25
WaterfallD,        500,          3,        0 1, CTIDR     ,      0.200,         25,          0,        305,         50,         50,         50,         50,         50,          0,          0,          8,          0,          0,          0,          2,          0,         10,         16,          6,          8,          3,          5,          7,          4,          5,     131.00, [33, 62, 57, 32, 78, 61, 85, 352, 47, 85, 42, 35, 112, 32, 126, 42, 34, 108, 162, 302, 152, 406, 750, 28, 54],         12,       2.00,         21
WaterfallD,        500,          3,        0 1, CTIDR     ,      0.500,         25,          0,        343,         50,         50,         50,         48,         48,          0,          0,          3,          0,          6,          5,          4,          5,         23,         16,          6,          8,          3,          5,          7,          4,          5,      78.00, [29, 63, 64, 65, 108, 297, 208, 100, 39, 9, 57, 39, 50, 0, 110, 45, 96, 94, 119, 1, 53, 180, 50, 41, 34],         31,       2.00,         22
WaterfallD,        500,          3,        0 1, CTIDR     ,      1.000,         25,          0,        335,         50,         50,         50,         50,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,         16,          6,          8,          3,          5,          7,          4,          5,     107.00, [10, 103, 57, 28, 269, 173, 98, 39, 283, 105, 31, 139, 47, 63, 27, 43, 60, 184, 118, 53, 193, 73, 337, 61, 85],         11,       2.00,         25
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.001,         25,          0,         69,         65,          5,          1,          1,          1,          0,          0,        221,          0,         10,          7,          2,          3,        243,         16,          6,          8,          3,          5,          7,          4,          5,       0.00, [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0],        480,       1.60,         21
WaterfallD,        500,          3,      0 1 2, CTIDR     ,      0.002,         25,          0,         89,         66,         19,          4,          0,          0,          0,          0,        185,          0,         19,          0,          0,          0,        204,         16,          6,          8,          3,          5,          7,          4,          5,       0.00, [0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0],        500,       1.88,         23
